文本内容,标签,文本长度
。1N推力器组件电磁阀的开关性能是影响卫星推进系统可靠性的关键因素低温环境测试下的关时间超标会导致研制周期延误与成本增加因此需要建立高精度预测模型以实现风险预警文章基于194台1N推力器组件的生产测试数据选取21项电磁阀关键参数作为输入以低温关时间为输出分别构建反向传播BP神经网络和卷积神经网络CNN预测模型误差参数的对比评估表明BP神经网络模型预测精度显著优于CNN模型其全连接结构更适用于此类小规模物理规律明确的工程数据BP神经网络在航天部件性能预测方面有良好的应用前景可为研制流程中的参数优化与风险防控提供数据支撑从而提升研制效率与产品可靠性,神经网络,275
。5G通信技术是现代信息技术的基础现代信息技术在农业信息化过程中具有显著的应用价值但是受限于我国传统农业水平现代信息技术在农业应用中出现了融合慢人才匮乏项目落地难等负向场景正确认知农业信息化发展重大意义促进现代信息技术同农业经营有机融合利用现代信息技术促进农业科技创新实施农业信息化发展工程是推动农业信息化发展的有效措施,农业信息化,160
。AI神经网络凭借强非线性表达能力与高维数据建模优势在网络威胁检测中展现出卓越性能本文集成机器学习深度模型与辅助分析技术构建端到端自动识别流程并结合真实攻防演练验证模型效果实验结果表明基于AI神经网络的XDR系统在响应时效与威胁识别准确性方面提升超过90成功识别未知漏洞攻击路径体现出其在高动态网络环境中的实际应用价值,神经网络,159
。CRO合同研究组织是指通过合同形式为医药企业在药物研发过程中提供专业化服务的公司或机构其业务模式主要是接受客户委托按照行业法规以及客户要求提供药物研发过程中的专业服务而信息化建设和创新是企业提高竞争力实现可持续发展的重要手段通过管理信息系统来提高CRO企业的市场竞争力和提高管理效率是生物医药行业的重要战略选择可以在满足最新法规要求的前提下从不同角度不同维度提高新药临床开发成功率和临床开发效率首先以BN公司这家CRO企业为例采用问卷调查访谈以及案例研究等方法通过对其业务管理信息系统发展现状的深入分析发现其存在顶层规划缺失业务流程不合理系统未互联互通系统数据难以支持决策组织结构模糊以及实施推进困难等问题其次对这些问题的成因进行了分析并对企业内部业务管理信息系统优化的需求进行了分析明确了系统的用户对该系统的总体需求功能性需求和非功能性需求再次结合本人在CRO企业的实践经验提出了适合BN公司业务特点的内部管理信息系统优化策略最后从组织人才文化机制四个方面阐述了该系统实施的保障措施通过需求分析对系统架构和功能进行了优化通过业务流程再造缩短了业务处理时间提高工作效率通过系统互联互通策略减少重复录入消除信息孤岛通过大数据仓库的建设和报表模块提供决策支撑通过本研究力求为同类CRO公司或医药企业的信息化建设提供理论支撑和现实指导,管理信息系统,565
。DCS控制系统广泛应用在电力冶金石油化工等工业现场是工业自动化的重要控制系统随着工业互联网技术的应用远程控制远程诊断无人车间等一系列智慧工厂解决方案的实施工业产业朝着数字化网络化智能化方向发展越来越多的工业控制网络与互联网连接成为网络攻击的重点目标从ITInformation TechnologyOTOperational Technology两个层面出发整理威胁工业控制DCS系统网络安全的病毒分类研究DCS控制系统的安全漏洞设计一种模拟攻击该系统漏洞的病毒程序验证研究关键基础设施的生产工艺设计一种篡改该关键基础设施工艺指令的方法简要讨论如何防御工控DCS系统ITOT层网络攻击的方法为工业生产者提供防护DCS网络安全的运行规程参考以及网络安全设备研发者提供设计思路,工业控制系统,337
。TRACLUS算法在处理具有复杂时空特性的轨迹数据时其采用的分段策略略侧重空间几何信息忽略时空动态信息导致分段精度不高空间邻近性的聚类的规则难以有效识别时空耦合模式且在处理噪声和密度不均数据方面存在局限性鉴于此提出基于时空加权和密度峰值的轨迹聚类算法该算法使用时空加权分段将自适应时空权重和时空几何距离融入最小描述长度代价函数提取包含时空局部特征的子轨迹段将时空局部密度融入密度峰值聚类并结合局部特征的噪声识别与迭代式类簇中心选择提升子轨迹段聚类效果将密度筛选和时空连续性约束嵌入代表性轨迹生成增强聚类结果可解释性在拓扑结构不同的北京和上海出租车数据集上的实验表明时空加权分段使轨迹重建误差平均降低2815方向偏差平均降低66 STWDPTRACLUS算法在三种评价指标上综合优于多种传统及新进的轨迹聚类算法验证在复杂时空轨迹模式挖掘方面的有效性,聚类算法,374
。m6A修饰是最丰富的RNA修饰之一几乎涉及mRNA代谢的各个方面在植物中m6A修饰在生长发育逆境响应抵御病害等各种生物学过程中起到重要作用m6A修饰在生物体内是由WriterEraserReader三类调控因子进行动态调控以满足植物复杂的生命活动m6A调控因子功能的差异主要归因于不同上游调控元件如转录因子miRNA等对其调控方式的影响以及其所调控的下游靶基因存在的多样性目前植物中的m6A相关研究方兴未艾在植物中进行了广泛的m6A修饰水平测定对m6A调控因子的作用机制与影响也有一定研究但还缺乏对与m6A调控因子的上下游互作关系的大规模系统性研究本论文构建了植物大规模m6A调控因子在转录因子miRNA蛋白质靶RNA互作网络的候选数据集并进一步挖掘了植物m6A调控因子在进化调控等方面的规律同时利用m6A结合蛋白的进化关系与结构挖掘出对结合RNA修饰有关键作用的氨基酸位点具体研究结果如下1植物m6A调控因子数据集的整合与数据库的搭建整合多个数据库中155个高质量植物基因组数据鉴定出4372个潜在m6A调控因子其中有1142个Writer1522个Eraser和1708个Reader并对蛋白等电点稳定系数等特征进行分析汇总进一步基于文献挖掘数据库调研组学数据分析同源映射等手段在155个物种中共鉴定出897081对m6A调控因子转录因子互作2147075对m6A调控因子蛋白质互作关系在12个代表物种间鉴定出471个m6A调控因子miRNA互作以及在拟南芥m6A结合蛋白YTH蛋白中鉴定出12957个YTH蛋白下游靶RNA对最后将所有m6A调控因子的序列理化性质互作关系进行汇总搭建了植物m6A调控因子互作数据库m6AReg Basehttpomicstudiocloud4020m6aregbase数据库包含m6A调控因子信息浏览查询比对下载等功能可以满足用户的多样化需求2拟南芥m6A调控因子的特征与互作网络基于m6AReg Base数据库的物种数据下载从物种整体调控因子系统出发以拟南芥为例深入剖析29个m6A调控因子的理化性质表达特征及调控网络结果表明Reader类因子家族成员最为丰富且表达广泛Writer类蛋白保持较强保守性而Eraser类因子在组织表达和功能上呈现较高多样性四类互作网络分析结果显示ECT1ECT6HAKAI等调控因子可能处于关键网络节点可能在m6A调控过程中的中心地位例如ECT1可以被DofNACERF等转录因子调控参与木质素合成花序细胞增殖等生物学过程HAKAI可以与CIB1WOX4ERF10等互作参与植物的开花时间调控逆境胁迫响应等过程ECT6受到athMIR156中六个成员的调控可能参与植物生长和果实成熟通过对物种内调控因子系统的深入研究为进一步解析m6A介导的发育与环境响应整体机制奠定了重要基础3植物m6A结合蛋白的结合能力的分化基于m6AReg Base数据库的调控因子家族数据下载以单一调控因子家族为切入点探讨m6A结合蛋白YTH家族的演化历程和功能分化的分子机制通过对大范围的YTH蛋白进化的分析发现DFC分支可进一步划分出DFD进化枝结合YTH蛋白三维结构以及RNA结合的关键位点的保守性发掘出对YTH蛋白结合能力有影响的11个关键氨基酸位点同时关注到4号关键位点具有亚家族特异性在所有蛋白序列中595是天冬氨酸377是天冬酰胺28是组氨酸且组氨酸仅存在于DFB分支的单子叶植物中进一步用ECT1作为研究对象4号位点位于第257位氨基酸构建ECT1D257N和ECT1D257H突变体通过分子对接分子动力学模拟以及EMSA实验证明天冬酰胺对m6A有更强的结合能力天冬氨酸对m1A有更强的结合能力而组氨酸对这两种修饰的结合能力都较弱通过对YTH家族在进化和功能上的系统分析能够丰富了我们对m6A识别机制的理解综上所述本论文在155个物种鉴定三类m6A调控因子并对调控因子的基本特征与互作网络进行整理汇总搭建了m6AReg Base数据库对拟南芥m6A调控因子及其互作网络进行具体分析确定了潜在的m6A调控因子系统的整体互作关系对YTH蛋白的进化以及结合能力进行分析提出了YTH蛋白功能分化的分子机制本研究不仅为m6A调控因子研究提供了数据支撑也为m6A调控因子的功能研究提供了新视角,数据库应用,1772
。一任务来源2021年江西省气象局青年人才培养项目二应用领域江西省气象部门三技术原理项目依据省局各类信息基础设施资源管理网络安全规范制度研发建立江西省气象数据中心基础设施资源出入库和江西省气象信息基础设施资源审批管理系统项目经过需求分析整体架构设计数据库设计项目开发和测试最终实现预定功能具体研发原理如下1 需求分析及整体架构设计课题立足信息类基础设施资源管理现状和开发需求开展调研分析详细梳理模块功能系统界面要求和数据对接的需求采用结构化分析和Jackson设计理论相结合的设计方法有效使用数据流图判定树ER图等工具建立系统逻辑概念模型完成信息系统总体架构设计工作2 业务流程及数据库设计主要依据省局资源申请网络安全相关规范对资源审批流程进行设计共设置三级用户角色分别为资源申请单位用户包含经办人负责人资源技术管理单位用户技术审核人单位分管负责人资源管理运维人员资源管理机关部门观测与网络处审核员审批流程根据上表为流水线式审批方式根据流程任务分解对业务系统分别进行数据库设计通过分析需求抽取需要构建的实体对象关系然后细化对象行为实体属性根据分析结果绘制ER图用三范式进一步优化概念模型根据表关系行为规则构建表结构3 WEB前端视图层设计开发具体包含登录页展示页和各功能模块页面的设计工作根据设计内容确定页面主题包含主题颜色字体大小图片尺寸保证页面整体风格一致页面在不同终端适配兼容对页面元素进行排版根据用户使用习惯规划元素位置和输入方式下拉选择文字输入等利用htmlcssjs实现布局效果渲染以及其他美工工作4 系统后端业务逻辑支撑层开发与测试项目使用IntelliJ IDEA环境进行开发具体包含项目结构包含实体层控制层自定义注解AOP切面mapper接口拦截器自定义枚举业务层视图层mapper XML文件css js等静态文件开发关键部分为核心类设计及调用过程的分析业务逻辑层采用SpringBoot框架搭建对核心类进行编程封装后对各种类的调用过程进行认真研究确保业务流程逻辑准确最后利用持久层Mybatis框架实现数据库连接具体步骤可分为添加依,管理信息系统,877
。三峡水库运行以来综合效益显著在长江经济带发展和长江大保护中发挥了基础保障和骨干主力作用在构建国家水网中水库是重要调蓄结点对流域水资源优化配置保障国家水安全发挥重要作用三峡水库位于长江上游干流向中游干流过渡地带且库容调节能力较强在流域防洪发电航运和水资源利用等方面具有突出作用随着长江上游若干巨型水库陆续建成投运以及国家高质量发展战略的深入推进三峡水库运行环境发生了新变化并且在经济社会发展中承担了更重要的任务因此为加强三峡水库的功能和作用有必要重新审视三峡水库在流域水资源利用中的地位和综合利用需求梳理总结三峡水库水资源利用方面的优化调度研究和实践情况深入分析三峡水库不同阶段优化调度措施实施以来水资源综合利用效益情况在坚持旱涝同防同治和加强跨区域水资源丰枯调剂的新要求下提出三峡水库进一步挖潜增效的举措为未来一段时期内三峡水库充分发挥水资源综合利用效益指明方向,资源优化调度,382
。三维激光扫描技术在隧道变形检测领域已获得广泛研究和应用而隧道断面的提取质量直接决定了检测的精度目前基于点云数据提取断面的方法存在提取位置噪声过多去噪效果欠佳的问题鉴于隧道狭长的结构特点提出了一种基于点云法向量与聚类算法的盾构隧道断面连续提取方法该方法根据隧道噪声点与管片点云法向量差异明显的特性快速剔除噪声点利用Kmeans聚类算法进行管环分割通过约束断面提取位置实现盾构隧道高质量横断面连续提取以北京某地铁盾构隧道为试验对象成功实现了隧道管环分割及断面逐环连续提取试验结果表明该方法能够快速准确地识别断面提取位置并且满足精度要求,聚类算法,266
